,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
Sample_40,6.3424015,5.4102445,21.220684,5.1319747,9.580192,16.611845
Sample_41,8.880432,6.75694,16.507538,5.015359,7.52087,13.763559
Sample_42,13.414398,7.2909656,26.022985,7.3605475,11.35568,22.02017
Sample_43,21.16944,11.781278,34.28235,15.887016,16.107193,27.312536
Sample_44,11.339777,9.51158,26.220407,8.48654,12.976604,23.031164
Sample_45,10.611252,8.772392,26.703403,8.229445,13.476119,24.647648
Sample_46,10.996735,7.021052,26.373127,7.214301,12.038135,22.29323
Sample_47,12.583397,8.674854,24.859346,7.489136,11.208345,20.618778
Sample_48,12.2877035,7.8900213,25.656256,7.9964137,12.225288,22.980223
Sample_49,5.937954,6.507885,17.847538,4.5162096,8.383491,13.975496
Sample_50,6.7336082,6.7032876,21.225376,5.633937,10.123648,16.788973
Sample_51,11.336065,8.353437,27.264896,8.330761,13.160698,24.60122
Sample_52,16.995323,9.0376215,29.672365,11.59662,13.765519,25.234535
Sample_53,10.183853,7.4352875,25.320045,7.496962,12.079878,21.723904
Sample_54,8.197921,7.598468,25.059162,7.4531317,12.683563,22.35041
Sample_55,56.51154,4.061786,77.67837,4.699689,9.399362,75.2774
Sample_56,12.650474,8.9223795,28.951723,9.838861,14.540338,25.864044
Sample_57,8.052999,7.094122,23.615833,6.5800605,11.127251,19.804445
Sample_58,9.483164,8.055235,24.958387,7.888968,12.548989,21.533747
Sample_59,13.693207,8.692126,29.729452,9.970754,14.436405,27.381191
Sample_60,9.95644,6.52956,26.316687,7.2250743,12.731992,23.954584
Sample_61,8.251308,6.3974733,23.467491,5.9370713,10.662944,18.940584
Sample_62,10.561494,8.5523815,25.170397,8.076316,12.110592,21.218904
Sample_63,8.370036,7.5461655,24.482529,6.8381677,12.064708,20.757261
Sample_64,19.646212,12.410171,34.03991,15.377418,17.234426,30.082727
Sample_65,13.270235,8.694576,28.17961,11.084342,14.232994,24.845827
Sample_66,20.393202,13.254272,35.68453,16.531403,18.32051,31.690126
Sample_67,1.8711591,6.176351,20.194164,3.8545809,9.976824,15.075599
Sample_68,20.21648,11.639008,35.097664,16.429886,17.350111,29.068163
Sample_69,6.6626215,6.6371565,23.516027,5.975463,10.851633,18.739752
Sample_70,11.631128,9.8773,27.024584,9.349718,13.556512,23.60378
Sample_71,8.480518,7.252561,24.482199,7.025212,12.149335,21.795458
Sample_72,13.151853,7.7052608,27.6027,9.054171,13.14967,24.949316
Sample_73,6.6416373,5.306607,20.826498,4.976644,9.140661,15.668252
Sample_74,9.998106,7.092772,26.604677,7.6151695,12.779842,24.14703
Sample_75,8.044109,6.5949297,21.107206,5.85036,9.917481,16.923298
Sample_76,5.012632,6.0919404,19.452803,4.5180206,9.059727,14.439478
Sample_77,10.07134,7.941932,25.321615,7.830547,12.413344,22.613546
Sample_78,10.113348,7.124963,27.720608,8.136596,13.3179455,24.284533
Sample_79,11.565416,7.6601515,17.396223,5.7798023,7.4418945,16.218884
Sample_80,10.0994425,7.0021415,24.498716,6.746966,11.364994,20.928072
Sample_81,9.045288,6.302531,23.345737,6.090609,10.598266,18.956465
Sample_82,9.698438,8.1632395,23.638712,6.9320726,11.277011,20.286272
Sample_83,6.5915036,6.9264784,22.1874,5.491536,10.189758,17.187853
Sample_84,9.249253,6.800988,24.178434,7.432137,11.4789095,20.253658
Sample_85,21.140577,10.850142,32.03207,17.86623,16.63042,29.019394
Sample_86,7.758135,5.576997,20.999142,5.3321996,9.3805685,16.51063
Sample_87,16.086828,14.0714655,31.85285,14.023239,17.009962,28.567703
Sample_88,7.812266,7.8676248,23.154724,6.7536416,11.423792,19.796423
Sample_89,2.793362,2.982886,19.089146,3.4646773,8.324606,13.780429
Sample_90,2.9735222,3.569899,20.874626,3.3627157,9.107293,15.453204
Sample_91,2.4210598,3.0881383,18.557745,3.3105237,8.075743,13.289622
Sample_92,1.2498543,4.0008626,17.963148,3.0414543,8.046799,12.366266
Sample_93,2.2825234,2.30687,17.187017,2.7134252,7.2844887,11.471218
Sample_94,3.5450842,1.5070258,21.083918,3.7402778,9.15194,15.491844
Sample_95,7.743684,7.52372,15.121381,4.2036695,6.334434,10.985627
Sample_96,5.292981,5.4990697,19.475899,4.2379856,8.605201,14.142405
Sample_97,6.48925,6.0207644,21.125214,5.754313,9.517752,16.215342
Sample_98,6.5822296,5.7899566,20.348095,5.423534,8.916627,15.034925
Sample_99,5.9425807,5.3918514,20.777517,4.93997,9.14238,15.232392
Sample_100,8.721681,7.0459766,16.784746,5.7928205,7.253606,12.846953
Sample_101,9.961033,7.2652326,16.626837,6.1614013,7.1472096,12.855951
Sample_102,7.130702,5.7613573,22.682055,6.257444,10.293395,17.993597
Sample_103,53.5397,4.597802,79.27093,4.9543324,10.0879755,76.982346
Sample_104,6.599584,5.2457857,19.732513,4.789388,8.526017,14.297799
Sample_105,1.8180362,6.69558,15.810604,2.963369,7.287279,10.443387
Sample_106,2.3813305,6.821342,18.806803,3.5581057,8.565955,12.6319895
Sample_107,2.9202297,6.3631005,17.666374,3.4975734,8.1097355,12.265195
Sample_108,2.6580496,7.5483212,21.17375,4.3567114,10.16235,15.766221
Sample_109,1.9731392,5.8154383,16.801374,3.045611,7.580289,11.2258625
Sample_110,8.42409,6.2008905,16.21505,5.5569754,7.1929774,12.698489
