,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
474.0,0.59765077,0.95371443,0.041425116,0.018713756,0.029888215,0.018327406
476.0,0.5589082,0.98649263,0.035075836,0.01826428,0.033818927,0.018612802
478.0,0.54890996,0.96086836,0.03421297,0.018123746,0.029854134,0.016543813
480.0,0.5362168,0.93645483,0.03491428,0.017668448,0.028288119,0.014268931
482.0,0.49963456,0.9567023,0.03888324,0.019347573,0.032565396,0.017223436
484.0,0.48748907,0.9275798,0.05186577,0.019148061,0.027297813,0.015049602
486.0,0.2911568,0.4658057,1.0,0.009518512,0.035941593,0.013472932
488.0,0.35243136,0.65643734,0.5682101,0.014815417,0.03487222,0.0145888515
490.0,0.36571634,0.7250796,0.404971,0.014558108,0.03148608,0.015372775
492.0,0.26628095,0.5118819,0.82894,0.01446191,0.03767835,0.014140986
494.0,0.30072948,0.6124692,0.59612596,0.016833145,0.035070647,0.012566749
496.0,0.20913574,0.4080943,0.98353577,0.008639601,0.040089626,0.010260917
498.0,0.20728056,0.40544006,0.96214896,0.008230373,0.03821871,0.009491917
500.0,0.19974598,0.3938156,0.94704086,0.01200528,0.03462153,0.0097552575
502.0,0.1695118,0.4025868,0.94126374,0.010560012,0.039437648,0.009831047
504.0,0.17607091,0.4041142,0.896991,0.0156465,0.034144916,0.010139783
506.0,0.2370394,0.557693,0.5834215,0.013583021,0.036092788,0.011986839
508.0,0.22200194,0.57431525,0.5427629,0.014725961,0.03472758,0.013489755
510.0,0.20291658,0.59262323,0.49923837,0.020872584,0.03734,0.014669629
512.0,0.1877343,0.6108047,0.46688187,0.024736652,0.03895372,0.014315648
514.0,0.18472037,0.622459,0.42050558,0.04038337,0.03799086,0.01357489
516.0,0.2106154,0.66217226,0.31828535,0.11761341,0.033504397,0.012771006
518.0,0.19099368,0.6472431,0.2869825,0.27636045,0.027218286,0.014351367
520.0,0.17168136,0.62420857,0.25296518,0.47694308,0.029486664,0.015506878
522.0,0.16463105,0.5926612,0.21411498,0.7517361,0.018999781,0.014832291
524.0,0.1583027,0.5608392,0.17806706,1.0,0.017833477,0.014558166
526.0,0.14292581,0.5628839,0.16392793,0.9722092,0.030524282,0.013786047
528.0,0.14422989,0.561672,0.14365941,0.97834843,0.022318719,0.014879467
530.0,0.14298974,0.56551725,0.1142312,0.9781245,0.030740667,0.0140159065
532.0,0.15400708,0.57676595,0.07175515,0.9598183,0.039074846,0.013816182
534.0,0.16748357,0.5859418,0.02916759,0.9193413,0.06991327,0.01231599
536.0,0.19120112,0.6188343,0.020325689,0.6229108,0.093956575,0.013908687
538.0,0.18407811,0.6143193,0.0075343014,0.6001631,0.115025744,0.011230686
540.0,0.17438516,0.6076787,0.0029878465,0.5679038,0.12096752,0.013195937
542.0,0.1532566,0.5946899,0.0061049066,0.52567273,0.1494303,0.012998186
544.0,0.14245264,0.5779375,0.0052504283,0.47959912,0.20487255,0.01601413
546.0,0.15399583,0.5938891,0.0066602416,0.38920015,0.10941942,0.014341106
548.0,0.13182639,0.56807995,0.009158645,0.3602731,0.18483219,0.015225006
550.0,0.082020186,0.50835156,0.005591085,0.30396473,0.5581773,0.011151262
552.0,0.059140973,0.46862766,0.009324566,0.25971127,0.7376282,0.012487342
554.0,0.058950663,0.40989912,0.007219459,0.20723817,1.0,0.010732745
556.0,0.047400072,0.41270068,0.0077840495,0.18221474,0.9267152,0.010953195
558.0,0.044931315,0.40202743,0.0066951606,0.14497128,0.92729783,0.011977444
560.0,0.049122036,0.3896955,0.011464007,0.10207263,0.91430056,0.013407713
562.0,0.029111141,0.39385927,0.008853158,0.061953418,0.89936566,0.014976889
564.0,0.04669132,0.38318068,0.01064698,0.026710255,0.8582597,0.023959115
566.0,0.06844241,0.40597594,0.0139519675,0.01436423,0.64646393,0.010856684
568.0,0.065524474,0.39875543,0.013490902,0.0030254314,0.6144872,0.013195968
570.0,0.050685454,0.39428622,0.014491018,0.004205354,0.57096374,0.01684999
572.0,0.052460045,0.3870802,0.015971368,0.0066239866,0.51875967,0.025087068
574.0,0.06255751,0.37693268,0.0150620695,0.001969316,0.4664494,0.04354951
576.0,0.028988535,0.26869437,0.0133499475,0.0037029432,0.3230886,0.84939194
578.0,0.028283097,0.2593843,0.014690189,0.004800349,0.2588527,0.9028292
580.0,0.043931756,0.24606532,0.015316705,0.008247046,0.18769063,0.9319168
582.0,0.042859543,0.24129148,0.0151502695,0.008222163,0.115826875,0.9636437
584.0,0.050199457,0.2350114,0.014110141,0.008232482,0.047882207,1.0
586.0,0.06893443,0.26245147,0.014930933,0.013119943,0.046325926,0.7228245
588.0,0.052418172,0.2621471,0.015550249,0.016256655,0.022453655,0.69388074
590.0,0.06385039,0.2571509,0.01601399,0.017061174,0.010075234,0.6353538
592.0,0.06652997,0.25486174,0.015390711,0.018771576,0.0075179376,0.58082783
594.0,0.072253175,0.24997936,0.01656485,0.01979346,0.015519189,0.51446235
596.0,0.07115312,0.26305136,0.015235742,0.024796719,0.007944874,0.37325487
598.0,0.071094215,0.25270098,0.0155490525,0.025347458,0.010281576,0.3492446
600.0,0.07161346,0.2416761,0.018578831,0.024813294,0.011402246,0.32207748
602.0,0.059851456,0.23839106,0.016885709,0.02850307,0.01642948,0.2951374
604.0,0.094628096,0.2176354,0.016593933,0.026216358,0.020934789,0.26143426
606.0,0.0572417,0.22464533,0.019269759,0.026941009,0.03331425,0.19426204
608.0,0.048345897,0.22032167,0.018790292,0.030436758,0.032810174,0.18086007
610.0,0.07080531,0.20462383,0.01840367,0.029944554,0.035781138,0.16357201
612.0,0.057965856,0.20054716,0.01915589,0.031721268,0.041170828,0.14855859
614.0,0.0915712,0.18279794,0.01994396,0.028788958,0.044084154,0.13222422
616.0,0.19598678,0.14000359,0.018484503,0.025992967,0.047139823,0.11394201
618.0,0.21084188,0.13073409,0.015964085,0.026174493,0.05069925,0.092350155
620.0,0.22499603,0.119069934,0.018007133,0.025654685,0.055992153,0.068788774
622.0,0.2481786,0.10860748,0.018202733,0.024571298,0.06025327,0.04763854
624.0,0.2863028,0.084498994,0.015783822,0.023649883,0.06283964,0.030894345
626.0,0.3713845,0.06893685,0.01466868,0.02054875,0.061017606,0.022292158
628.0,0.35970113,0.040084712,0.01700668,0.020556074,0.06403073,0.01794826
630.0,0.32388726,0.052680284,0.016331857,0.024268132,0.06416203,0.018765954
632.0,0.3086103,0.06696597,0.015232213,0.022823049,0.06515918,0.015076512
634.0,0.3117225,0.054762825,0.014782364,0.023100637,0.06509621,0.0126462225
636.0,0.38878617,0.0382827,0.012065501,0.019844046,0.06043324,0.011413123
638.0,0.33674872,0.059744667,0.0145747075,0.023486052,0.0608054,0.015685607
640.0,0.31706023,0.04993523,0.016218426,0.022346707,0.063248575,0.012136261
